dates,transect_id,longitude,latitude
2021-11-22 05:37:42+00:00,T10,266316.28328665235,580553.1885533374
2021-11-22 05:37:42+00:00,T11,266339.1672012622,580498.9293440492
2021-11-22 05:37:42+00:00,T12,266404.9653889408,580472.9746174015
2021-11-22 05:37:42+00:00,T13,266461.4901840541,580466.5026026759
2021-11-22 05:37:42+00:00,T14,266493.42593988014,580466.0115794546
2021-11-22 05:37:42+00:00,T15,266519.8211423296,580464.0823084118
2021-11-22 05:37:42+00:00,T16,266545.09027897235,580461.0070266037
2021-11-22 05:37:42+00:00,T17,266580.4914771495,580455.9890641794
2021-11-22 05:37:42+00:00,T18,266629.4138208439,580459.1953984608
2021-11-22 05:37:42+00:00,T19,266705.1789600237,580447.5906092894
2021-12-05 05:25:37+00:00,T1,266787.538310792,580472.7919484109
2021-12-05 05:25:37+00:00,T2,266702.81622976763,580571.0799112624
2021-12-05 05:25:37+00:00,T3,266623.2746720835,580592.6737057536
2021-12-05 05:25:37+00:00,T4,266575.89364250127,580600.0002719284
2021-12-05 05:25:37+00:00,T5,266544.42800343974,580601.2965354433
2021-12-05 05:25:37+00:00,T6,266518.4642672709,580600.3594829177
2021-12-05 05:25:37+00:00,T7,266492.4301919937,580595.1306879568
2021-12-05 05:25:37+00:00,T8,266456.3104561872,580595.4957289738
2021-12-05 05:25:37+00:00,T9,266397.83420962095,580589.9594759686
2021-12-05 05:25:37+00:00,T10,266320.10470696,580550.7602183417
2021-12-05 05:25:37+00:00,T11,266338.94947523944,580498.7798696244
2021-12-05 05:25:37+00:00,T12,266405.09035423654,580473.866235555
2021-12-05 05:25:37+00:00,T13,266461.3810810512,580464.813607864
2021-12-05 05:25:37+00:00,T14,266493.31388772733,580463.0436855733
2021-12-05 05:25:37+00:00,T15,266519.67031374614,580461.2088163868
2021-12-05 05:25:37+00:00,T16,266544.8976591197,580458.9283437729
2021-12-05 05:25:37+00:00,T17,266580.0349267868,580453.5383497451
2021-12-05 05:25:37+00:00,T18,266629.1686309347,580460.3795808068
2021-12-05 05:25:37+00:00,T19,266707.40755741566,580444.4967122581
2021-12-17 05:37:35+00:00,T1,266774.74023546115,580483.9006881084
2021-12-17 05:37:35+00:00,T2,266701.7780936335,580568.6580088873
2021-12-17 05:37:35+00:00,T3,266622.5385275382,580587.477764246
2021-12-17 05:37:35+00:00,T4,266576.1381766195,580591.7870819865
2021-12-17 05:37:35+00:00,T5,266544.91718383913,580590.8737086396
2021-12-17 05:37:35+00:00,T6,266518.8323466586,580589.897823932
2021-12-17 05:37:35+00:00,T7,266492.5453109862,580591.1227435165
2021-12-17 05:37:35+00:00,T8,266456.5395845228,580589.9221405291
2021-12-17 05:37:35+00:00,T9,266398.68382127257,580585.3883389955
2021-12-17 05:37:35+00:00,T10,266321.15131416026,580550.0951481096
2021-12-17 05:37:35+00:00,T11,266339.46903080394,580499.1365576682
2021-12-17 05:37:35+00:00,T12,266404.9333032189,580472.7456881455
